genomeNo	speciesGenomeNo	taxonomy	lineage	biorank	D_name	catalogueGroup	catalogueName	quality	completeness	contamination	size	gc	contig	type	OTU	OTU_status	projectNo	sampleNo	runNo	tier	nDegKos	degKos	nDepolymeraseLoci	depolymeraseLoci	synthKos
GCMeta_00360057	GCMeta_00360057	s__Giesbergeria hankyongi	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Giesbergeria;s__Giesbergeria hankyongi	species	Bacteria	Plant Rhizosphere	Arabidopsis Rhizosphere	Medium-quality	95.88	0.904	3468204	64.51	245	gcMeta	gcMeta_totalOTUv1.0_032198	representative	PRJDB12268	SAMD00402763	DRR318390	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00360084	GCMeta_00360084	g__Noviherbaspirillum	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Noviherbaspirillum;s__	genus	Bacteria	Plant Rhizosphere	Arabidopsis Rhizosphere	Medium-quality	99.31	2.741	7257162	59.7	124	gcMeta	gcMeta_totalOTUv1.0_061682	representative	PRJNA646933	SAMN15568225	SRR12247764	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00380046	GCMeta_00380046	s__Comamonas acidovorans	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas acidovorans	species	Bacteria	Wild Animals	Bear Oral	Medium-quality	100.0	0.717	6638850	66.91	106	gcMeta	gcMeta_totalOTUv1.0_032129	member	PRJEB42014	SAMEA9232389	ERR6096582	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00440114	GCMeta_00440114	g__Polaromonas	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	genus	Bacteria	Plant Rhizosphere	Wheat Rhizosphere	Medium-quality	99.55	0.327	4744678	61.5	142	gcMeta	gcMeta_totalOTUv1.0_061908	representative	PRJNA1184367	SAMN44677236	SRR31320653	1	4	K00019;K01907;K05973;K07518	2	2xK05973	K00023;K00626;K03821
GCMeta_00460008	GCMeta_00460008	s__Comamonas tsuruhatensis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas tsuruhatensis	species	Bacteria	Wild Animals	Vulture Gut	Medium-quality	96.91	0.0	5838439	67.24	410	gcMeta	gcMeta_totalOTUv1.0_032155	member	PRJNA297579	SAMN04157001	SRR3208468	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00540050	GCMeta_00540050	g__Acidovorax	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax;s__	genus	Bacteria	Environments	Drinking Water	Medium-quality	99.74	0.437	4978097	65.62	70	gcMeta	gcMeta_totalOTUv1.0_062169	representative	PRJNA718649	SAMN18617826	SRR14143314	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00540169	GCMeta_00540169	g__Ideonella	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ideonella;s__	genus	Bacteria	Environments	Drinking Water	Medium-quality	94.89	0.654	6321254	69.42	197	gcMeta	gcMeta_totalOTUv1.0_062247	representative	PRJNA894723	SAMN31468639	SRR22250839	1	4	K00019;K01907;K05973;K07518	2	2xK05973	K00023;K00626;K03821
GCMeta_00540194	GCMeta_00540194	g__Methylibium	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Methylibium;s__	genus	Bacteria	Environments	Drinking Water	Medium-quality	82.41	2.760	3505434	71.28	389	gcMeta	gcMeta_totalOTUv1.0_062266	representative	PRJNA838713	SAMN28461164	SRR19238497	1	4	K00019;K01907;K05973;K07518	2	2xK05973	K00023;K00626;K03821
GCMeta_00540210	GCMeta_00540210	g__Rubrivivax	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__	genus	Bacteria	Environments	Drinking Water	High-quality	99.28	0.959	6558481	70.6	188	gcMeta	gcMeta_totalOTUv1.0_062277	representative	PRJNA826697	SAMN27578173	SRR18749953	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00540224	GCMeta_00540224	s__Cupriavidus pauculus	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus pauculus	species	Bacteria	Environments	Drinking Water	Medium-quality	99.75	1.223	5718373	64.52	39	gcMeta	gcMeta_totalOTUv1.0_032161	representative	PRJNA659358	SAMN15903644	SRR12532594	1	4	K00019;K01907;K05973;K07518	2	2xK05973	K00023;K00626;K03821
GCMeta_00540266	GCMeta_00540266	s__Ralstonia pickettii_B	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia pickettii_B	species	Bacteria	Environments	Drinking Water	Medium-quality	99.94	0.0	5347275	63.84	56	gcMeta	gcMeta_totalOTUv1.0_032601	member	PRJNA659358	SAMN15903644	SRR12532594	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00540287	GCMeta_00540287	s__Curvibacter lanceolatus	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Curvibacter;s__Curvibacter lanceolatus	species	Bacteria	Environments	Drinking Water	Medium-quality	95.81	1.415	6056119	66.14	112	gcMeta	gcMeta_totalOTUv1.0_032164	representative	PRJNA659358	SAMN15903650	SRR12532599	1	4	K00019;K01907;K05973;K07518	2	2xK05973	K00023;K00626;K03821
GCMeta_00540408	GCMeta_00540408	f__Burkholderiaceae	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	family	Bacteria	Environments	Drinking Water	Medium-quality	87.17	0.022	3759931	65.35	311	gcMeta	gcMeta_totalOTUv1.0_062417	representative	PRJNA894723	SAMN31468658	SRR22250827	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00540448	GCMeta_00540448	s__Comamonas thiooxydans	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas thiooxydans	species	Bacteria	Environments	Drinking Water	Medium-quality	97.92	0.154	5057730	61.75	108	gcMeta	gcMeta_totalOTUv1.0_032154	representative	PRJNA659358	SAMN15903651	SRR12532598	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00540666	GCMeta_00540666	s__Giesbergeria sp001770955	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Giesbergeria;s__Giesbergeria sp001770955	species	Bacteria	Environments	Drinking Water	Medium-quality	98.59	1.388	3805430	65.36	111	gcMeta	gcMeta_totalOTUv1.0_032200	member	PRJNA659358	SAMN15903651	SRR12532598	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00541063	GCMeta_00541063	g__Ideonella	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ideonella;s__	genus	Bacteria	Environments	Drinking Water	Medium-quality	94.37	3.942	8026887	67.79	295	gcMeta	gcMeta_totalOTUv1.0_062873	representative	PRJNA894723	SAMN31468654	SRR22250832	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00541124	GCMeta_00541124	g__Usitatibacter	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Usitatibacteraceae;g__Usitatibacter;s__	genus	Bacteria	Environments	Drinking Water	Medium-quality	92.42	0.829	4339034	69.57	299	gcMeta	gcMeta_totalOTUv1.0_062918	representative	PRJNA801887	SAMN25410386	SRR17828889	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00541353	GCMeta_00541353	s__Comamonas tsuruhatensis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas tsuruhatensis	species	Bacteria	Environments	Drinking Water	Medium-quality	98.81	0.720	6420623	66.81	194	gcMeta	gcMeta_totalOTUv1.0_032155	member	PRJNA826697	SAMN27578157	SRR18749948	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00541373	GCMeta_00541373	g__Rubrivivax	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__	genus	Bacteria	Environments	Drinking Water	High-quality	97.83	1.214	5945268	70.24	78	gcMeta	gcMeta_totalOTUv1.0_063085	representative	PRJNA894723	SAMN31468654	SRR22250832	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00541383	GCMeta_00541383	g__Piscinibacter	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Piscinibacter;s__	genus	Bacteria	Environments	Drinking Water	High-quality	99.35	1.682	6954515	70.43	64	gcMeta	gcMeta_totalOTUv1.0_063092	representative	PRJNA649116	SAMN15823000	SRR12460200	1	4	K00019;K01907;K05973;K07518	2	2xK05973	K00023;K00626;K03821
GCMeta_00541598	GCMeta_00541598	g__Piscinibacter	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Piscinibacter;s__	genus	Bacteria	Environments	Drinking Water	Medium-quality	95.71	0.467	4903043	70.68	45	gcMeta	gcMeta_totalOTUv1.0_063245	representative	PRJNA649116	SAMN15823001	SRR12460199	1	4	K00019;K01907;K05973;K07518	2	2xK05973	K00023;K00626;K03821
GCMeta_00541691	GCMeta_00541691	s__Zoogloea dura	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__Zoogloea dura	species	Bacteria	Environments	Drinking Water	Medium-quality	95.43	2.249	5196990	66.74	400	gcMeta	gcMeta_totalOTUv1.0_033240	representative	PRJNA894723	SAMN31468649	SRR22250837	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00541752	GCMeta_00541752	g__Usitatibacter	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Usitatibacteraceae;g__Usitatibacter;s__	genus	Bacteria	Environments	Drinking Water	Medium-quality	92.73	1.321	4912510	70.87	493	gcMeta	gcMeta_totalOTUv1.0_063367	representative	PRJNA801887	SAMN25410384	SRR17828891	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00541854	GCMeta_00541854	s__Acidovorax kalamii	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax;s__Acidovorax kalamii	species	Bacteria	Environments	Drinking Water	Medium-quality	96.34	3.011	5105360	65.72	106	gcMeta	gcMeta_totalOTUv1.0_032020	member	PRJNA894723	SAMN31468660	SRR22250825	1	4	K00019;K01907;K05973;K07518	2	2xK05973	K00023;K00626;K03821
GCMeta_00541921	GCMeta_00541921	g__JAEUNB01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Usitatibacteraceae;g__JAEUNB01;s__	genus	Bacteria	Environments	Drinking Water	Medium-quality	88.76	3.208	4416891	59.9	414	gcMeta	gcMeta_totalOTUv1.0_063489	representative	PRJNA894723	SAMN31468654	SRR22250832	1	4	K00019;K01907;K05973;K07518	2	2xK05973	K00023;K00626;K03821
GCMeta_00542012	GCMeta_00542012	g__Cupriavidus	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__	genus	Bacteria	Environments	Drinking Water	Medium-quality	83.05	1.292	5418534	66.93	726	gcMeta	gcMeta_totalOTUv1.0_063552	representative	PRJNA1043427	SAMN38195831	SRR26912485	1	4	K00019;K01907;K05973;K07518	2	2xK05973	K00023;K00626;K03821
GCMeta_00542031	GCMeta_00542031	s__Acidovorax sp000302535	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax;s__Acidovorax sp000302535	species	Bacteria	Environments	Drinking Water	Medium-quality	94.18	2.922	4718958	65.45	114	gcMeta	gcMeta_totalOTUv1.0_032021	member	PRJNA659358	SAMN15903650	SRR12532599	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00542060	GCMeta_00542060	g__Ideonella	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ideonella;s__	genus	Bacteria	Environments	Drinking Water	Medium-quality	84.72	1.059	5238335	70.09	243	gcMeta	gcMeta_totalOTUv1.0_063581	representative	PRJNA826697	SAMN27578173	SRR18749953	1	4	K00019;K01907;K05973;K07518	2	2xK05973	K00023;K00626;K03821
GCMeta_00542211	GCMeta_00542211	s__Cupriavidus taiwanensis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus taiwanensis	species	Bacteria	Environments	Drinking Water	Medium-quality	98.18	0.458	5843202	67.78	76	gcMeta	gcMeta_totalOTUv1.0_032163	representative	PRJNA894723	SAMN31468659	SRR22250826	1	4	K00019;K01907;K05973;K07518	2	2xK05973	K00023;K00626;K03821
GCMeta_00542456	GCMeta_00542456	g__Ideonella	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ideonella;s__	genus	Bacteria	Environments	Drinking Water	Medium-quality	95.69	1.783	5738770	69.75	131	gcMeta	gcMeta_totalOTUv1.0_063856	representative	PRJNA894723	SAMN31468649	SRR22250837	1	4	K00019;K01907;K05973;K07518	2	2xK05973	K00023;K00626;K03821
GCMeta_00542514	GCMeta_00542514	g__Pseudomonas_E	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	genus	Bacteria	Environments	Drinking Water	Medium-quality	94.21	1.488	4646914	63.07	185	gcMeta	gcMeta_totalOTUv1.0_063895	representative	PRJNA807827	SAMN26001886	SRR18055303	1	4	K00019;K01907;K22249;K22250	3	2xK22249,1xK22250	K00626;K03821
GCMeta_00542636	GCMeta_00542636	s__Acidovorax temperans	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax;s__Acidovorax temperans	species	Bacteria	Environments	Drinking Water	Medium-quality	98.35	0.0	4000011	63.32	151	gcMeta	gcMeta_totalOTUv1.0_032026	member	PRJNA1043427	SAMN38195831	SRR26912485	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00542804	GCMeta_00542804	g__Rubrivivax	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__	genus	Bacteria	Environments	Drinking Water	Medium-quality	92.82	1.535	6368267	71.32	325	gcMeta	gcMeta_totalOTUv1.0_064104	representative	PRJNA894723	SAMN31468654	SRR22250832	1	4	K00019;K01907;K05973;K07518	2	2xK05973	K00023;K00626
GCMeta_00542843	GCMeta_00542843	s__Cupriavidus respiraculi	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Cupriavidus;s__Cupriavidus respiraculi	species	Bacteria	Environments	Drinking Water	Medium-quality	98.18	1.758	5303431	67.95	61	gcMeta	gcMeta_totalOTUv1.0_032162	representative	PRJNA894723	SAMN31468661	SRR22250824	1	4	K00019;K01907;K05973;K07518	3	3xK05973	K00023;K00626;K03821
GCMeta_00542899	GCMeta_00542899	g__Methylibium	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Methylibium;s__	genus	Bacteria	Environments	Drinking Water	Medium-quality	97.97	0.311	3860798	70.72	87	gcMeta	gcMeta_totalOTUv1.0_064172	representative	PRJNA894723	SAMN31468654	SRR22250832	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00626
GCMeta_00542913	GCMeta_00542913	g__Rhodoferax_C	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax_C;s__	genus	Bacteria	Environments	Drinking Water	Medium-quality	96.43	1.635	4608526	62.26	77	gcMeta	gcMeta_totalOTUv1.0_064181	representative	PRJNA1071982	SAMN39867811	SRR28011855	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00600302	GCMeta_00600302	g__Pseudomonas_E	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	genus	Bacteria	Human	Human Skin	Medium-quality	80.34	0.0	4427840	62.16	454	gcMeta	gcMeta_totalOTUv1.0_069670	representative	PRJEB40358	SAMEA7322784	ERR4605119	1	4	K00019;K01907;K22249;K22250	2	1xK22249,1xK22250	K00626;K03821
GCMeta_00600806	GCMeta_00600806	g__Zoogloea	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Zoogloea;s__	genus	Bacteria	Human	Human Skin	Medium-quality	85.23	2.424	4651833	62.79	757	gcMeta	gcMeta_totalOTUv1.0_069817	representative	PRJNA642893	SAMN15405858	SRR12173680	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00600833	GCMeta_00600833	s__Comamonas tsuruhatensis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas tsuruhatensis	species	Bacteria	Human	Human Skin	Medium-quality	99.86	0.0	6539198	66.79	378	gcMeta	gcMeta_totalOTUv1.0_032155	representative	PRJEB40358	SAMEA7322841	ERR4605176	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00600897	GCMeta_00600897	s__Giesbergeria sp023150295	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Giesbergeria;s__Giesbergeria sp023150295	species	Bacteria	Human	Human Skin	Medium-quality	93.25	0.883	3541411	65.77	385	gcMeta	gcMeta_totalOTUv1.0_032206	representative	PRJNA604820	SAMN21207661	SRR17547453	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00601108	GCMeta_00601108	s__Burkholderia cepacia	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia cepacia	species	Bacteria	Human	Human Skin	Medium-quality	95.48	0.372	7959294	66.89	399	gcMeta	gcMeta_totalOTUv1.0_032098	representative	PRJNA494939	SAMN10174921	SRR13292529	1	4	K00019;K01907;K05973;K07518	4	4xK05973	K00023;K00626;K03821
GCMeta_00601206	GCMeta_00601206	s__Ottowia sp018060485	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ottowia;s__Ottowia sp018060485	species	Bacteria	Human	Human Skin	High-quality	99.53	0.031	3830417	66.73	170	gcMeta	gcMeta_totalOTUv1.0_032420	representative	PRJNA1013332	SAMN37295805	SRR25936491	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00601746	GCMeta_00601746	g__Piscinibacter	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Piscinibacter;s__	genus	Bacteria	Human	Human Skin	Medium-quality	97.41	2.180	6227578	69.56	628	gcMeta	gcMeta_totalOTUv1.0_070113	representative	PRJNA763232	SAMN21436446	SRR15899494	1	4	K00019;K01907;K05973;K07518	2	2xK05973	K00023;K00626;K03821
GCMeta_00620124	GCMeta_00620124	s__Ralstonia wenshanensis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;s__Ralstonia wenshanensis	species	Bacteria	Plant Rhizosphere	Rice Rhizosphere	Medium-quality	98.03	0.766	4622186	64.36	214	gcMeta	gcMeta_totalOTUv1.0_032604	representative	PRJNA1184367	SAMN44677034	SRR31357252	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00778931	GCMeta_00778931	g__VBCG01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__VBCG01;s__	genus	Bacteria	Extreme Environments	Cold Habitat	Medium-quality	95.5	0.893	3397171	65.25	164	gcMeta	gcMeta_totalOTUv1.0_070429	representative	PRJNA367366,PRJNA367365,PRJNA649681	SAMN15677085,SAMN06267040,SAMN06267039	SRR12350504,SRR5208701,SRR5208699	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
GCMeta_00779984	GCMeta_00779984	g__Polaromonas	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	genus	Bacteria	Extreme Environments	Cold Habitat	Medium-quality	72.70	1.604	2947740	63.23	607	gcMeta	gcMeta_totalOTUv1.0_070971	representative	PRJNA445613	SAMN12676490	SRR10066355	1	4	K00019;K01907;K05973;K07518	1	1xK05973	K00023;K00626;K03821
