ko	genomeId	locusid	contigId	sStart	eEnd	orient	gtdb_mini_taxonomy	gtdb_lineage
K05973	GCMeta_00810141	AAFNFPHK_01702	NODE_3084_length_23427_cov_9.688773	6917	8308	-	BOG-931 sp021811945	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__BOG-931;s__BOG-931 sp021811945
K05973	GCMeta_01241552	AAGPLGMD_02681	GCMeta_01241552_00014	39081	40367	-	Hyphococcus	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Parvularculaceae;g__Hyphococcus;s__
K05973	GCMeta_01257403	AAGPNCEE_00118	GCMeta_01257403_00001	111777	113096	+	Phenylobacterium sp001824475	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__Phenylobacterium sp001824475
K05973	GCMeta_01278688	AAHAJIDI_03652	GCMeta_01278688_00241	2279	3496	+	Sphingomonas paucimobilis	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas paucimobilis
K05973	GCMeta_01246816	AAHBLHLF_00523	GCMeta_01246816_00009	16798	18063	+	Thalassobium sp000161835	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Thalassobium;s__Thalassobium sp000161835
K05973	GCMeta_00540897	AAHIJLEA_01749	GCMeta_00540897_00430	1411	2454	-	Caulobacter	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__
K05973	GCMeta_01338411	AAIHMAOM_03002	GCMeta_01338411_00113	1817	3184	+	Rhodoferax_C	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax_C;s__
K05973	GCMeta_01323272	AAJEMMKB_00341	GCMeta_01323272_00009	182	1447	+	Phenylobacterium deserti_B	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__Phenylobacterium deserti_B
K05973	GCMeta_01171988	AALHIBIJ_00237	GCMeta_01171988_00001	222634	223962	+	UBA1664	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA1664;s__
K05973	GCMeta_00541776	AALIDLNE_00767	GCMeta_00541776_00003	150510	151727	+	LMDS01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__LMDS01;s__
K05973	GCMeta_00541776	AALIDLNE_03377	GCMeta_00541776_00032	18516	19868	-	LMDS01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__LMDS01;s__
K05973	GCMeta_01097349	AALLDEMK_00967	GCMeta_01097349_00048	893	2284	+	Limnohabitans sp903952885	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnohabitans;s__Limnohabitans sp903952885
K05973	GCMeta_00801268	AAMIGFIG_01270	NODE_3054_length_13431_cov_9.284988	1314	2636	-	Rhodomicrobiaceae	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__;s__
K05973	GCMeta_00801268	AAMIGFIG_01765	NODE_5206_length_9211_cov_10.234382	4657	5991	-	Rhodomicrobiaceae	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae;g__;s__
K05973	GCMeta_01296424	AAMJGCDE_03707	GCMeta_01296424_00206	1843	3147	+	Piscinibacter	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Piscinibacter;s__
K05973	GCMeta_01296424	AAMJGCDE_03921	GCMeta_01296424_00236	325	1542	-	Piscinibacter	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Piscinibacter;s__
K05973	GCMeta_00541402	AANJKDDO_01896	GCMeta_00541402_00444	37	972	+	Methyloceanibacter	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__
K05973	GCMeta_01260222	AANKCECB_01051	GCMeta_01260222_00161	3372	4592	-	Acetobacteraceae	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__
K05973	GCMeta_01332647	AAOBDENP_01043	GCMeta_01332647_00009	20651	21871	-	JANXVY01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__JANXVY01;s__
K05973	GCMeta_01332647	AAOBDENP_01909	GCMeta_01332647_00022	31902	33257	-	JANXVY01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__JANXVY01;s__
K05973	GCMeta_02135328	AAODAKIN_03782	GCMeta_02135328_00035	32342	33682	-	62-47 sp023386885	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__62-47;s__62-47 sp023386885
K05973	GCMeta_00035791	AAOFMKHH_00318	NODE_94_length_101126_cov_78.821442	70209	71525	-	Stenotrophomonas	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__
K05973	GCMeta_00542072	AAOIBAGB_00491	GCMeta_00542072_00002	128273	129490	-	Sphingomonas_B	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_B;s__
K05973	GCMeta_00601743	AAPCHHFD_00946	GCMeta_00601743_00095	59	1408	-	Paracoccus	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__
K05973	GCMeta_01332288	AAPGDKLN_00005	GCMeta_01332288_00001	4542	5813	+	Phenylobacterium sp947475415	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__Phenylobacterium sp947475415
K05973	GCMeta_00799809	ABABLJKM_00556	NODE_582_length_39263_cov_495.918639	32556	33791	+	DSNY01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__DSNY01;s__
K05973	GCMeta_00600334	ABANKLAD_03134	GCMeta_00600334_00189	2556	3863	-	Stenotrophomonas	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__
K05973	GCMeta_01260244	ABANOHEL_00016	GCMeta_01260244_00001	22437	23669	+	JANXWW01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Usitatibacteraceae;g__JANXWW01;s__
K05973	GCMeta_01220643	ABBDHCLN_03573	GCMeta_01220643_00155	3364	4626	+	Salipiger profundus	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Salipiger;s__Salipiger profundus
K05973	GCMeta_00540300	ABCGPIFJ_00227	GCMeta_00540300_00001	239056	240327	+	Uliginosibacterium_A gangwonense_A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Uliginosibacterium_A;s__Uliginosibacterium_A gangwonense_A
K05973	GCMeta_01218026	ABCHNBOB_01006	GCMeta_01218026_00017	7942	9159	+	Aquabacter sp013911975	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Aquabacter;s__Aquabacter sp013911975
K05973	GCMeta_01218026	ABCHNBOB_02850	GCMeta_01218026_00088	2707	4065	-	Aquabacter sp013911975	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Aquabacter;s__Aquabacter sp013911975
K05973	GCMeta_00541389	ABCNDKJA_00759	GCMeta_00541389_00109	1419	2648	-	Nordella	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Nordella;s__
K05973	GCMeta_00540483	ABDFEGLH_02392	GCMeta_00540483_00059	11578	12798	+	Sphingomicrobium	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__
K05973	GCMeta_01180440	ABDGPAEE_02624	GCMeta_01180440_00329	2641	3816	-	CPC320	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__CPC320;s__
K05973	GCMeta_01341012	ABEBJPLE_01530	GCMeta_01341012_00018	28028	29260	-	Sphingomonas	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
K05973	GCMeta_01288663	ABEONHEI_00843	GCMeta_01288663_00003	42595	43815	-	JAABRC01 sp011391115	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JAABRC01;s__JAABRC01 sp011391115
K05973	GCMeta_01288663	ABEONHEI_01223	GCMeta_01288663_00004	151953	153389	+	JAABRC01 sp011391115	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JAABRC01;s__JAABRC01 sp011391115
K05973	GCMeta_02015136	ABEPDGIM_02940	GCMeta_02015136_00547	1091	2308	+	Sphingomonas zeae	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas zeae
K05973	GCMeta_00121023	ABFEKDMJ_00220	GCMeta_00121023_00003	32673	33890	-	JAEUPI01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JAEUPI01;s__
K05973	GCMeta_00121023	ABFEKDMJ_01753	GCMeta_00121023_00032	30723	32039	+	JAEUPI01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JAEUPI01;s__
K05973	GCMeta_00784480	ABGKHAHI_02063	NODE_22628_length_6532_cov_4.911224	4066	5409	+	Brevundimonas	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__
K05973	GCMeta_00787024	ABHCAMHJ_02483	NODE_9271_length_5466_cov_12.653114	2670	3914	-	Tsuneonella	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Tsuneonella;s__
K05973	GCMeta_01264017	ABHLPBKP_02222	GCMeta_01264017_00167	4809	6038	+	JANYFH01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Usitatibacteraceae;g__JANYFH01;s__
K05973	GCMeta_01326417	ABIKGJOO_01619	GCMeta_01326417_00098	3741	5018	+	Polynucleobacter sp013205155	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polynucleobacter;s__Polynucleobacter sp013205155
K05973	GCMeta_00601708	ABJALBIM_02001	GCMeta_00601708_00079	3876	5222	+	Paracoccus yeei	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus yeei
K05973	GCMeta_01177115	ABKBAAAE_01642	GCMeta_01177115_00006	13331	14635	-	Hyphomonas	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Hyphomonas;s__
K05973	GCMeta_01281116	ABKDIHDI_00204	GCMeta_01281116_00010	15116	16390	+	Aestuariivirga	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__Aestuariivirga;s__
K05973	GCMeta_01297144	ABKJGGEG_01971	GCMeta_01297144_00134	6325	7710	-	Ga0077527	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-41;g__Ga0077527;s__
K05973	GCMeta_01310967	ABKPCNDC_00012	GCMeta_01310967_00001	14049	15467	+	Comamonas sp030064165	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas sp030064165
K05973	GCMeta_00540537	ABLAKOPE_00312	GCMeta_00540537_00018	1788	3200	+	Micavibrio	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__Micavibrio;s__
K05973	GCMeta_01289614	ABLELLFA_01436	GCMeta_01289614_00079	6692	8041	-	Paracoccus	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__
K05973	GCMeta_00033060	ABLFNDLL_00332	NODE_35461_length_3360_cov_3.213918	784	2091	-	Stenotrophomonas sepilia	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas sepilia
K05973	GCMeta_00600147	ABLIHKIK_01327	GCMeta_00600147_00077	8044	9444	+	Acidovorax temperans	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax;s__Acidovorax temperans
K05973	GCMeta_01164219	ABLLDOJP_01761	GCMeta_01164219_00015	43656	44936	+	Brevundimonas	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__
K05973	GCMeta_01122343	ABMDMPGP_00196	GCMeta_01122343_00004	140	1354	-	UBA830	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__MPNO01;f__UBA830;g__UBA830;s__
K05973	GCMeta_00542201	ABMEHIPA_00864	GCMeta_00542201_00018	18437	19669	+	Sphingomonas	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
K05973	GCMeta_00542855	ABMPDDGB_01089	GCMeta_00542855_00012	27344	28582	-	UBA11222	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA11222;f__UBA11222;g__UBA11222;s__
K05973	GCMeta_01303802	ABNBACLG_00370	GCMeta_01303802_00003	25493	26935	-	JAABRC01 sp029561195	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JAABRC01;s__JAABRC01 sp029561195
K05973	GCMeta_01303802	ABNBACLG_02258	GCMeta_01303802_00035	1139	2359	-	JAABRC01 sp029561195	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JAABRC01;s__JAABRC01 sp029561195
K05973	GCMeta_00808274	ABODFIOO_02304	NODE_770_length_46352_cov_10.872087	23120	24370	+	Palsa-881 sp021808285	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Palsa-881;s__Palsa-881 sp021808285
K05973	GCMeta_00120888	ABOFMDNG_00700	GCMeta_00120888_00079	1636	2907	-	Rudaea	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Rudaea;s__
K05973	GCMeta_00800955	ABPCEJMP_02907	GCMeta_00800955_00161	23	1273	-	Erythrobacter	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__
K05973	GCMeta_00541063	ABPNNAOJ_06848	GCMeta_00541063_00161	2937	4292	+	Ideonella	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ideonella;s__
K05973	GCMeta_01261135	ACAGDKJA_02083	GCMeta_01261135_00038	33282	34616	+	CAISIP01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAISIP01;s__
K05973	GCMeta_00793430	ACAJKMFL_01065	NODE_2154_length_6777_cov_3.155013	3094	4413	-	Nocardioides salarius	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__Nocardioides salarius
K05973	GCMeta_00793430	ACAJKMFL_01065	NODE_2154_length_6777_cov_3.155013	3094	4413	-	Nocardioides salarius	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__Nocardioides salarius
K05973	GCMeta_00601730	ACBBJKEO_03215	GCMeta_00601730_00220	191	1462	+	Lysobacter	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__
K05973	GCMeta_01122460	ACBINEHG_03796	GCMeta_01122460_00083	5624	6898	-	Nioella	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Nioella;s__
K05973	GCMeta_00781740	ACDBANFM_03550	NODE_42412_length_7167_cov_9.748875	1098	2363	-	RCIZ01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__RCIZ01;s__
K05973	GCMeta_01142084	ACDEPCHG_01143	GCMeta_01142084_00115	4293	5621	+	WLWX01 sp943787785	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__WLWX01;s__WLWX01 sp943787785
K05973	GCMeta_00360070	ACDHBFDG_03173	GCMeta_00360070_00640	1727	2953	-	Azospirillum sp946480385	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Azospirillum;s__Azospirillum sp946480385
K05973	GCMeta_01238135	ACEGELIC_00818	GCMeta_01238135_00008	6840	8132	+	UBA1664 sp002320485	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__UBA1664;s__UBA1664 sp002320485
K05973	GCMeta_00420004	ACEHDFKL_00551	GCMeta_00420004_00150	321	1568	-	JANWHQ01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__JANWHQ01;s__
K05973	GCMeta_00600378	ACEIIDCB_01371	GCMeta_00600378_00333	769	2043	+	JAATGA01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAATGA01;s__
K05973	GCMeta_00600307	ACEKFNBM_02646	GCMeta_00600307_00184	928	2268	+	JAHWJX01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__JAHWJX01;s__
K05973	GCMeta_01261657	ACFGLNOI_01737	GCMeta_01261657_00242	88	1641	+	Ga0077555	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Ga0077555;s__
K05973	GCMeta_00420022	ACGILAAM_01946	GCMeta_00420022_00003	348715	350043	-	Bradyrhizobium diazoefficiens	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium diazoefficiens
K05973	GCMeta_01085862	ACHBDOMP_03075	GCMeta_01085862_00037	23466	24686	+	CAIQQQ01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAIQQQ01;s__
K05973	GCMeta_01298265	ACHJHEFI_01883	GCMeta_01298265_00067	6	1244	+	Erythrobacter	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__
K05973	GCMeta_00800508	ACIPMBBI_00231	GCMeta_00800508_00002	109477	110703	+	Paracaedibacterales	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Paracaedibacterales;f__;g__;s__
K05973	GCMeta_00541983	ACJOFBCI_00934	GCMeta_00541983_00004	94798	96111	-	Roseateles	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Roseateles;s__
K05973	GCMeta_01265294	ACJOJHHC_02429	GCMeta_01265294_00378	152	1513	-	JANYCG01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JANYCG01;s__
K05973	GCMeta_01219287	ACKDGEPD_01846	GCMeta_01219287_00094	7426	8697	+	Epibacterium	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Epibacterium;s__
K05973	GCMeta_01279066	ACKELGPP_01137	GCMeta_01279066_00038	9582	10796	-	WHUA01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA8366;f__UBA8366;g__WHUA01;s__
K05973	GCMeta_00540491	ACKLNAPC_00893	GCMeta_00540491_00034	11003	12277	-	Tabrizicola_A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola_A;s__
K05973	GCMeta_01202597	ACLGLDGJ_00220	GCMeta_01202597_00006	12120	13406	+	Sulfitobacter	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;s__
K05973	GCMeta_01297473	ACLPNIMK_03122	GCMeta_01297473_00032	33123	34346	-	Sphingobium limneticum	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium limneticum
K05973	GCMeta_01264451	ACNADEKH_00872	GCMeta_01264451_00108	2762	4153	-	Hyphomicrobium_B	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium_B;s__
K05973	GCMeta_01265747	ACNBMCJB_01525	GCMeta_01265747_00023	38754	40004	-	Palsa-881	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Palsa-881;s__
K05973	GCMeta_01086800	ACNLIDCJ_02821	GCMeta_01086800_00058	12165	13382	-	Glaciecola	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Glaciecola;s__
K05973	GCMeta_00540243	ACNOAACP_01569	GCMeta_00540243_00004	244401	245783	+	SCMT01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__SCMT01;s__
K05973	GCMeta_02133486	ACOAPLEH_01019	GCMeta_02133486_00004	49589	50899	-	Luteimonas_D padinae	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas_D;s__Luteimonas_D padinae
K05973	GCMeta_01097176	ACODKNOE_01525	GCMeta_01097176_00066	271	1734	-	Limnohabitans sp903865035	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnohabitans;s__Limnohabitans sp903865035
K05973	GCMeta_01180149	ACOEIPFP_03129	GCMeta_01180149_00651	74	1537	+	Pseudolabrys	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__
K05973	GCMeta_01180149	ACOEIPFP_03164	GCMeta_01180149_00665	250	1467	+	Pseudolabrys	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__
K05973	GCMeta_01229675	ACOHPFKJ_00072	GCMeta_01229675_00005	3146	4378	+	Agrobacterium oryzihabitans	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__Agrobacterium oryzihabitans
K05973	GCMeta_01264204	ACOMCHMF_02604	GCMeta_01264204_00119	1464	2714	-	JADJYF01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__JADJYF01;s__
